hs_code,hs6,hs4,hs2,product_name
0101211000,010121,0101,01,농가 사육용
0101219000,010121,0101,01,기타
0101291000,010129,0101,01,경주말
0101299000,010129,0101,01,기타
0101309000,010130,0101,01,기타
0101900000,010190,0101,01,기타
0102211000,010221,0102,01,젖소
0102212000,010221,0102,01,육우(肉牛)
0102399000,010239,0102,01,기타
0103100000,010310,0103,01,번식용
0103910000,010391,0103,01,중량이 50킬로그램 미만인 것
0103920000,010392,0103,01,중량이 50킬로그램 이상인 것
0104109000,010410,0104,01,기타
0104209000,010420,0104,01,기타
0105111000,010511,0105,01,번식용
0105119000,010511,0105,01,기타
0105131000,010513,0105,01,번식용
0105139000,010513,0105,01,기타
0105999000,010599,0105,01,기타
0106110000,010611,0106,01,영장류
0106122000,010612,0106,01,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)"
0106130000,010613,0106,01,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과]
0106149000,010614,0106,01,기타
0106191000,010619,0106,01,개
0106194000,010619,0106,01,곰
0106196090,010619,0106,01,기타
0106199000,010619,0106,01,기타
0106201000,010620,0106,01,뱀
0106202000,010620,0106,01,자라
0106203000,010620,0106,01,거북
0106209000,010620,0106,01,기타
0106310000,010631,0106,01,맹금류
0106320000,010632,0106,01,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다]
0106390000,010639,0106,01,기타
0106419000,010641,0106,01,기타
0106490000,010649,0106,01,기타
0106901000,010690,0106,01,양서류
0106903010,010690,0106,01,갯지렁이
0106903020,010690,0106,01,실지렁이
0106903090,010690,0106,01,기타
0106909000,010690,0106,01,기타
0201201000,020120,0201,02,갈비
0201209000,020120,0201,02,기타
0201300000,020130,0201,02,뼈 없는 것
0202100000,020210,0202,02,도체(屠體)와 이분도체(二分屠體)
0202201000,020220,0202,02,갈비
0202209000,020220,0202,02,기타
0202300000,020230,0202,02,뼈 없는 것
0203120000,020312,0203,02,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)
0203191000,020319,0203,02,삼겹살
0203199000,020319,0203,02,기타
0203210000,020321,0203,02,도체(屠體)와 이분도체(二分屠體)
0203220000,020322,0203,02,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)
